word,frequency
自有,47
奴仆,5
并非,19
此些,1
值得,8
這且,4
你當,4
得知,3
這人算來,1
恩人,4
旁住,1
甄老,1
爺的,10
聞得養,1
五歲,2
拐去,1
單管,10
養在,1
僻靜,2
十一二,1
容貌,7
帶至,1
轉賣,3
這英蓮,2
七八年,2
十二三,2
其模樣,1
出脫,2
齊整,11
好些,180
不改,5
熟人,3
易認,1
眉心,1
中原,4
米粒,2
胭脂,25
從胎,1
偏生,34
居住,13
打怕,1
親爹,2
無錢,2
償債,1
故賣,1
小時,9
這可無疑,1
相看,9
罪孽,7
可滿,1
轉有,1
憂愁,1
形景,17
解釋,11
這馮,2
必待,1
日期,16
必不以,1
絕風流,1
過得,4
素習,15
堂客,9
今竟,1
破价,1
后事,20
耐得,4
三兩日,1
憂悶,2
解憂悶,1
誰料,2
竟有,15
不如意,5
若賣,1
還好,33
名人,2
霸王,4
天下第一,1
弄性尚气,1
而且,35
如土,1
落花流水,1
不知死活,3
空喜,2
未遂,1
遭遇,1
這馮淵,1
看准,5
這英蓮受,1
折磨,6
頭路,2
若能,2
聚合,2
美事,2
家富貴,1
眾多,2
淫佚,1
無度,1
未必,55
定情,2
一人者,1
情緣,6
恰遇,5
剖斷,1
何其,2
明決,2
何反成,1
主意,189
補升,1
此任,1
王府,20
之力,2
之親,3
順水,1
行舟,1
作個整,1
人情,12
也好,65
何嘗,14
但事關,2
委用,1
實是,5
重生,1
殫心,1
因私,1
廢法,1
我實,7
忍為者,1
大道理,4
行不去,1
豈不聞,3
大丈夫,4
相時,1
而動,1
趨吉避,1
凶者,1
君子,4
依老爺,1
報效,2
亦且,8
自身,2
不保,3
三思,1
方說,8
已想,1
坐堂,4
虛張,1
聲勢,3
動文書發,1
簽拿人,1
原凶,1
要將,5
家族,1
中及,2
暗中,11
調停,11
暴病,4
身亡,4
令族,1
上共遞,1
張保,1
說善,1
堂上,7
設下,8
令軍民人,1
原因,3
夙孽,1
相逢,12
狹路,1
無名,1
馮魂,1
追索,3
已死,6
其禍,1
某人,10
拐之人,1
某鄉,1
按法,1
處治,7
余不略,1
囑托,4
實招,1
批語,1
相符,4
不虛,1
有的是,7
一千,14
五百,23
馮家,7
作燒,4
埋之費,1
甚要,1
細想,16
此計,1
斟酌,12
可壓,1
服口聲,1
天色已晚,1
別無話,2
勾取,2
一應,36
人犯,3
詳加,1
審問,9
稀疏,1
賴此,1
多得些,2
燒埋,1
之費,3
倚情,1
偏不相,1
故致,1
顛倒,5
未決,1
村便,1
徇情枉法,1
胡亂,20
判斷,2
許多燒,1
埋銀子,2
甚話,2
雨村斷,1
急忙,45
作書信,1
二封,1
并京營,1
節度,18
令甥,1
過慮,1
沙彌新門子,1
大不樂業,1
充發,1
才罷,15
當下言,1
著雨村,1
本是,11
書香,3
繼世之家,1
幼年,2
喪父,1
寡母,3
又怜,2
獨根,1
孤种,1
溺愛縱容,1
老大,11
百万,1
之富,1
著內,1
辦雜料,1
文起,1
奢侈,2
傲慢,1
過略識,1
几字,3
斗雞,3
游山玩水,1
皇商,1
經濟,7
世事,8
全然不知,1
不過賴,1
之舊,1
戶部,2
虛名,10
支領,3
伙計,8
老家人,3
措辦,1
王氏乃,1
現任京營,1
騰之妹,1
母所生,1
兩歲,4
寶釵,733
肌骨,3
瑩潤,2
酷愛此,1
乃兄,1
竟高過,1
十倍,21
自父,1
親死,1
依貼,1
母怀,1
以書字,1
家計,9
好為,2
分憂,2
解勞,1
今上,1
崇詩,1
尚禮,1
征采,1
才能,11
不世出,1
除聘,1
選妃,1
嬪外,1
名家,3
之女,4
親名,1
達部,1
以備,8
選為,1
公主,5
郡主,2
入學,1
充為,1
贊善,1
之職,3
賣承局,1
總管,3
輕不諳,2
中几處,1
消耗,2
薛蟠素,2
聞得,22
繁華之地,1
一游,2
一為,2
妹待選,1
二為,2
望親,1
因親,2
自入,3
部銷算,1
舊帳,2
再計,1
新支,1
其實則,1
游覽上,1
國風光,1
下行,1
裝細軟,1
饋送,1
土物,5
等類,7
正擇,1
一定,69
偏遇,3
重賣,1
薛蟠見,8
英蓮生,1
馮家來,1
奪人,2
因恃強,1
喝令,7
手下,8
豪奴將,1
母妹,1
竟自,9
竟視,1
儿戲,4
花上,6
其日,1
已將入,1
騰升,2
九省,3
奉旨,11
查邊,1
暗喜,3
正愁,4
進京去,1
管轄著,1
任意,15
霍揮,1
天從,1
人愿,1
因和母,1
親商議,1
咱們,582
京中,2
几處,20
這十來,3
沒人,47
看守,22
偷著,9
租賃,1
先著,2
他母,7
親道,2
何必如此,3
招搖,2
這一,32
原該,24
拜望,4
舅舅家,6
爹家,2
极是,9
先能,1
著住,1
不消,15
停些,1
薛蟠道,29
正升,1
外省,6
這工,1
夫一窩,1
一拖,1
眼色,23
雖升,2
姨娘,212
兩處,24
帶信,4
雖忙,1
賈家,26
意思,152
守著,14
姨爹,3
拘緊,1
施為,2
自去,50
宅子,2
廝守,1
几日,74
妹子,43
家去,29
好不好,32
情知,3
扭不過,4
吩咐,182
人夫,1
已知,12
維持,1
見哥,1
哥升,1
邊缺,1
娘家,16
親戚,79
略加,1
寂寞,25
姨太太,102
姐儿,515
合家,21
門外,18
下車,5
女媳人,1
接出,6
大廳,11
將薛姨媽,1
悲喜交集,5
泣笑,1
敘闊,1
各种,7
酬獻,1
家俱,1
廝見過,1
治席,1
接風,5
引著,7
賈珍,350
賈政便,18
春秋,4
外甥,15
年輕,11
世路,2
恐有,4
北角,2
香院,21
十來間,1
白空,1
閒著,15
和姐,1
親密些,1
薛姨媽,407
同居,3
拘緊些,1
縱性,4
謝應,1
說明,36
日費,1
供給,11
處常之法,1
不難于,1
其愿,1
此后,15
母子,19
這梨,2
即當,1
日榮公,1
養靜,4
十余,3
后舍,1
俱全,6
一門,8
通街,2
此門,1
西南,3
一角,4
一夾道,1
出夾道,1
或飯,1
閒談,8
相敘,1
看書,16
下棋,12
或作,3
原不欲,1
賈宅,7
但恐,1
姨父,4
管約,2
拘禁,1
料必,3
不自在,45
無奈母,1
親執,1
意在,3
殷勤,10
掃出,1
移居,2
賈宅族,1
中凡,1
子侄,18
認熟,1
凡是,5
气習者,1
莫不,6
會酒,1
甚至,19
聚賭,2
嫖娼,2
引誘,3
賈政訓子,1
治家,4
有法,1
一則族,1
二則現,1
任族長,1
彼乃宁,1
凡族,2
中事,1
掌管,6
三則,8
公私,1
素性,5
瀟洒,2
不以,4
俗務為,1
每公暇,1
著棋,2
余事,2
相隔,2
兩層,3
街門,1
另開,1
放意,1
暢怀,1
之念,1
打滅,1
第五回,1
-------------------------------------------------------------------,2
指迷,1
飲仙,1
演紅樓,1
既將,1
事略,2
表明,1
回則,1
今且,3
自在,5
怜愛,2
寢食,1
起居,9
一如,1
惜春三個,2
親孫女,1
和黛玉,6
密友,1
愛處,1
較別,1
日則,1
同坐,2
夜則,2
同息,1
同止,1
意順,2
參商,3
忽然,95
薛寶釵,25
雖大不多,1
品格,2
端方,2
丰美,1
人多,6
寶釵行,1
豁達,1
比黛玉,3
孤高,1
自許,1
目無下,1
大得,1
小丫頭子們,12
此黛玉,1
悒郁,1
不忿,6
渾然,1
那寶玉,33
孩提,1
之間,43
況自,1
天性,7
愚拙,1
一意,1
無親,3
疏遠近,1
隨賈母,1
故略,1
比別,27
熟慣些,1
熟慣,2
覺親密,1
親密,9
求全,2
之毀,1
不虞之隙,1
垂淚,11
自悔言語,1
前去,13
那黛玉,14
轉來,7
因東邊,1
宁府中,9
花園,8
盛開,3
尤氏,216
治酒,1
賞花,5
來面,1
等于,2
早飯,20
會芳園,9
先茶,1
宁榮二府,3
女眷,11
小集,1
無別樣,1
新文,1
趣事,1
可記,2
倦怠,2
中覺,8
再來,19
給寶叔,1
交与,35
請寶叔,1
隨我,6
母素知,1
秦氏,51
妥當,42
裊娜,4
纖巧,1
行事,39
乃重,1
孫媳中,1
安穩,7
一簇,5
內間,2
畫貼,1
固好,1
燃藜,1
看系,1
所畫,1
不快,32
洞明,1
學問,14
練達,1
室宇,1
精美,1
華麗,2
斷斷,9
這里還,1
屋里,277
寶玉點頭,9
微笑,18
嬤說,1
叔叔,66
侄儿,72
房里,161
睡覺,41
秦氏笑,4
他惱,3
同年,2
還高些,1
沒見,52
瞧瞧,195
隔著,9
二三十里,1
帶去,7
剛至,17
一股,20
甜香,6
玉覺,1
骨軟,2
連說,1
好香,1
入房,2
壁上,10
畫的,6
海棠,32
春睡,2
宋學士,1
秦太虛,2
其聯云,1
寒鎖,2
因春冷,2
芳气,1
籠人,1
酒香,2
武則,2
天當,1
日鏡室,1
中設,1
擺著,5
飛燕立,1
著舞過,1
金盤,1
盤內盛,1
著安祿山,1
真乳,1
木瓜,2
面設,1
著壽昌,1
于含章,1
殿下,1
同昌,1
聯珠帳,1
含笑,26
著親,4
展開,3
過的紗,1
紅娘,3
抱過,4
鴛枕,1
眾奶母,1
寶玉臥,1
款散,1
留襲,1
媚人,1
晴雯,326
為伴,2
分咐,1
廊檐,11
著貓,1
儿狗儿,4
打架,16
剛合,2
上眼,3
便惚惚,1
猶似,1
悠悠,10
所在,16
但見,6
朱欄,2
白石,6
綠樹,1
清溪,2
人跡,2
希逢,2
飛塵,1
中歡,1
想道,27
有趣,48
這里過,1
縱然失,1
愿意,103
師傅,2
胡思,15
山后,1
作歌,2
春夢,2
云散,2
飛花逐,1
水流,4
寄言眾,1
閒愁,3
聲音,18
歌聲,2
未息,1
走出,29
蹁躚,2
賦為證,1
方离,1
柳塢,1
乍出,1
花房,1
但行,1
惊庭樹,1
將到,4
影度,1
回廊,9
仙袂,1
麝蘭,1
馥郁,3
荷衣欲動,1
環佩之鏗鏘,1
春桃,1
云堆,1
唇綻,1
櫻顆,1
含香,1
纖腰,1
楚楚,1
回風,1
舞雪,1
珠翠,1
之輝輝,1
額鵝黃,1
沒花間,1
宜嗔宜喜,1
徘徊,5
池上,3
飛若揚,1
蛾眉,2
將言,1
未語,4
蓮步,1
待止,1
而欲行,1
羡彼,1
之良質,1
冰清玉潤,1
羡彼之華服,1
閃灼,3
愛彼之貌,1
容兮,1
香培玉琢,1
美彼之態度,1
鳳翥龍翔,1
其素,1
若何,11
春梅,1
其洁,1
秋菊,1
其靜,1
松生,1
空谷,1
其艷,1
霞映,1
澄塘,1
龍游曲沼,1
其神,1
射寒江,1
應慚,2
實愧,1
王嬙,2
矣哉,1
孰地,1
瑤池,2
不二,1
紫府,1
如斯,1
寶玉見,73
仙姑,13
神仙姐姐,1
要往,3
离恨,2
乃放春山遣,1
香洞,2
司人間,1
風情,4
掌塵,1
世之女,1
男痴,1
因近,4
纏綿于,1
此處,18
以前,3
訪察机會,1
相思,9
此离吾境,1
不遠,11
他物,1
僅有,1
自采,1
仙茗,2
一盞,13
親釀,1
美酒,2
素練,1
魔舞,1
歌姬,2
數人,2
仙曲,1
十二支,3
一游否,1
有石,1
橫建,1
上書,1
牌坊,6
一座,16
宮門,3
孽海,1
情天,3
大書云,2
厚地,1
高天,1
情不盡,1
痴男怨女,1
風月債,1
難償,2
自思道,6
古今之,1
之債,1
領略,6
早把些,1
邪魔,6
招入,1
二層,3
門內,2
配殿,3
匾額,12
惟見,3
結怨司,1
朝啼司,1
夜怨司,1
感司,1
悲司,1
因向,23
敢煩,2
各司,3
游玩,10
使得,84
普天之下,1
簿冊,2
爾凡,1
眼塵軀,1
未便,6
先知,3
肯依,6
复央,1
姑無奈,1
此司,2
內略,1
隨喜,4
隨喜罷,1
喜不自胜,5
這司,1
聯寫,1
春恨,1
悲皆自,1
花容月貌,1
門來,11
十數個,3
大廚,2
封條,6
封著,1
地名,4
無心,18
看別,3
廚上,1
大書七字云,1
正冊,4
警幻道,8
即貴省,1
冠首,1
之冊,1
故為,1
极大,4
几百,18
女孩子,57
貴省,1
固多,1
不過擇,1
其緊,1
下邊,2
廚則,1
次之,4
庸常,1
之輩,1
則無冊,1
可錄,1
二廚,1
寫著,14
副冊,2
先將,8
廚開,1
冊來,3
揭開,11
這首,9
上畫,3
山水,10
水墨,2
烏云濁,1
几行字,2
難逢,4
彩云易散,1
心比天高,1
身為,1
靈巧,1
招人怨,1
壽夭多,1
毀謗生,1
空牽念,1
畫著,14
鮮花,6
一床,3
破席,1
寫道,17
枉自,2
柔和,2
空云,1
似桂如蘭,1
堪羡,1
优伶,5
有福,3
無緣,5
廚門,1
桂花,29
池沼,1
水涸,2
枯藕敗,1
根并,1
荷花,4
一莖,2
遭際,2
實堪傷,1
自從,18
兩地生,1
孤木,1
香魂,3
只見頭,3
一頁,2
兩株,1
枯木,1
木上,1
懸著,7
一圍,1
金簪,4
停机,1
堪怜,1
林中,2
雪里,2
待要,20
問時,11
丟下,21
不舍,9
往后,25
弓上,1
著香櫞,1
一首歌,1
詞云,1
二十年,4
榴花,1
開處,2
照宮,1
三春爭,1
春景,3
大夢歸,2
兩人放,1
風箏,12
大海,6
大船,1
船中,2
泣涕,3
之狀,10
寫云,1
精明,1
志自高,1
運偏消,1
涕送,1
江邊,1
千里,9
東風,6
一夢遙,1
畫几縷,1
飛云,1
一灣,1
逝水,3
襁褓,2
斜暉,2
湘江,3
水逝,1
楚云飛,1
泥垢,1
斷語,1
欲洁,1
何曾洁,1
云空,1
金玉,20
終陷,1
畫著個,1
美女,6
其書云,1
子系,2
中山狼,3
得志,1
猖狂,1
金閨,1
一美人,3
看經,1
其判云,3
勘破,3
衣頓,2
昔年,5
繡戶,2
侯門,6
獨臥,2
青燈,5
古佛,2
冰山,2
其判,1
凡鳥,1
知愛慕,1
此生,3
一從,3
二令,1
三人木,1
荒村,1
野店,1
紡績,3
勢敗,3
休云貴,1
家亡,1
莫論親,1
偶因濟,1
劉氏,4
巧得遇,1
一盆,15
茂蘭,1
旁有,3
鳳冠,1
霞帔,2
判云,1
桃李,3
春風,5
結子,6
冰水,1
空相,1
作笑,1
高樓,1
大廈,1
自縊,3
情海,2
幻情,1
必主淫,1
漫言,1
榮出,1
造釁,1
開端,1
實在宁,1
還欲,5
天分,2
高明,9
穎慧,1
恐把,1
仙机,3
泄漏,4
卷冊,2
隨我去,1
奇景,1
這悶,2
恍恍惚惚,6
覺棄,1
警幻來,1
珠帘,6
繡幕,1
雕檐,1
那光搖,1
朱戶,1
雪照瓊,1
窗玉作宮,1
更見,1
仙花,3
异草,2
真好,3
貴客,2
荷袂,1
羽衣,2
飄舞,2
春花,3
媚如,1
秋月,2
怨謗,1
今時,1
生魂,1
反引,1
這濁物,2
來污,1
這清淨,1
之境,1
嚇得,11
果覺,5
自形,1
污穢,2
攜住,1
向眾,3
原欲往,1
接絳珠,1
适從,1
宁府,24
宁榮,9
二公之靈,1
囑吾云,1
自國朝,1
定鼎,1
雖歷,1
百年,2
奈運,1
終數,1
挽回,8
遺之子孫,1
繼業,1
中惟,1
孫寶玉,1
生性,3
怪譎,1
雖聰明,1
靈慧,1
可望,4
運數,1
合終,1
恐無人規,1
引入,2
偶來,1
万望,1
先以,2
情欲,3
聲色,7
事警,1
其痴,1
跳出,5
迷人,2
圈子,2
入于,1
正路,3
之幸,2
囑吾,1
引彼,1
彼家,1
上中下,3
之終,1
身冊,1
令彼熟,1
故引,1
歷飲,1
之幻,1
或冀將,1
一悟,1
入室,3
但聞,1
一縷,7
幽香,4
其所焚,1
何物,13
此香塵,1
世中,3
爾何,1
能知,1
此香,1
乃系諸,1
胜境,1
內初,1
异卉,1
寶林珠,1
樹之油,1
所制,3
群芳,4
羡慕,9
入座,1
自覺,23
清香,11
异味,1
純美,1
非常,29
此茶,1
放春山遣,1
靈葉,1
宿露,1
名曰,5
千紅,1
一窟,1
稱賞,9
因看,5
房內,38
瑤琴,1
寶鼎,3
古畫,1
無所,11
更喜,2
窗下,13
唾絨,1
時漬,1
粉污,1
幽微,1
靈秀地,1
無可,10
問眾,7
姓名,3
名痴夢,1
一名,10
鐘情,2
引愁,1
金女,1
度恨,1
菩提,3
各道號,1
來調,1
桌安椅,1
設擺酒,1
瓊漿,1
滿泛,1
玉液,1
濃斟琥,1
那肴,1
之盛,3
甘冽,1
异乎,1
尋常,3
此酒,1
百花,2
之蕊,2
万木之汁,1
麟髓,1
鳳乳,1
因名,1
万艷,1
同杯,1
不迭,15
飲酒間,1
舞女,2
請問,7
演何,1
詞曲,2
新制,2
演上,1
檀板,1
銀箏,1
歌道,1
開辟鴻蒙,2
方歌,1
此曲,2
不比塵,1
所填,1
傳奇,2
生旦,3
淨末,1
之則,1
九宮,2
之限,1
感怀,4
一曲,2
即可,4
譜入,1
管弦,2
之妙,1
料爾,1
此調,1
不先,3
閱其稿,1
其歌,2
嚼蜡,1
回頭命,5
稿來,1
面目,8
視其文,1
引子,4
情种,3
情濃,1
趁著,17
怀日,1
試遣,1
愚衷,1
這怀,1
金悼玉,1
終身誤,1
金玉良,1
只念木,1
石前盟,1
山中,3
高士,1
晶瑩雪,1
世外,2
方信,2
齊眉,1
舉案,1
意難平,1
枉凝眉,1
苑仙葩,1
沒奇緣,1
今生,3
奇緣,3
心事,40
終虛化,1
空勞,1
水中,1
珠儿,12
怎經,1
得秋流,1
冬盡,1
春流,1
散漫,4
無稽,2
其聲韻,1
凄惋,1
竟能,2
銷魂,1
醉魄,1
不察其,1
問其來歷,1
以此,3
釋悶,3
無常,4
喜榮華,1
眼睜睜,1
万事,1
芳魂,4
望家鄉,1
路遠山,1
故向,1
夢里,4
相尋告,1
儿命,1
天倫,2
須要,13
退步抽身,1
一帆,1
風雨路,1
三千,10
家園,1
齊來,2
拋閃,1
恐哭,1
損殘年,1
把儿,1
懸念,1
自古,18
窮通,2
有定,3
豈無緣,1
今分,1
兩地,3
保平安,1
奴去,1
樂中悲,1
縱居,1
綺羅叢,1
知嬌,1
幸生,1
英豪,1
闊大,1
宏量,1
未將,2
私情,10
一似,5
月光,3
風耀玉堂,1
廝配,1
才貌,4
仙郎,1
博得,2
地久天,1
准折,4
坎坷,1
終久,22
云散高,1
消長,1
數應當,1
悲傷,17
世難容,1
气質,3
美如蘭,1
才華阜,1
比仙,2
生成,8
孤癖,2
肉食,1
腥膻,2
視綺羅俗,1
太高人,1
愈妒,1
過洁,1
世同,1
古殿,1
人將,10
紅粉,2
朱樓,4
春色,4
依舊,18
心愿,11
玉遭,1
泥陷,1
何須,3
王孫,4
無情,13
全不念,1
奢淫,1
還构,1
侯門艷質,1
蒲柳,2
作踐,17
公府,4
千金,8
下流,19
艷魄,1
虛花悟,1
那三春,1
看破,8
桃紅柳,1
綠待,1
這韶,1
華打滅,1
清淡,5
夭桃盛,1
云中,2
杏蕊,1
則看,1
白楊,1
村里人,1
嗚咽,5
青楓,1
林下,1
吟哦,2
連天,4
遮墳,1
這的,1
昨貧今,1
富人,2
春榮秋,1
謝花,1
生關,1
寶樹喚,1
婆娑,1
結著長,1
生果,1
聰明累,1
机關算,1
盡太聰明,1
算了,9
卿卿,1
生前,6
心已,1
后性,1
空靈,1
終有,6
個家亡,1
人散,4
各奔騰,1
枉費,2
意懸,1
忽喇喇,2
似大廈,1
昏慘,2
慘似,1
燈將,1
悲辛,1
終難定,1
留余慶,3
幸娘親,1
幸娘,1
積得,1
陰功,1
濟困,2
扶窮,1
休似,1
愛銀錢,1
狠舅,1
奸兄,1
乘除,1
加減,2
蒼穹,1
晚韶華,1
鏡里,2
那堪,2
那美韶華去,1
何迅,1
休提,3
這帶,1
珠冠,1
披鳳襖,1
莫受,1
老來,5
陰騭,6
積儿孫,1
气昂昂,2
頭戴,4
光燦燦,1
胸懸,1
金印,1
威赫,1
赫爵祿,1
高登,2
赫赫,5
爵祿,1
慘黃泉,1
問古來將,1
相可,1
還存,1
虛名儿,2
欽敬,1
畫梁春,1
盡落,1
香塵,1
擅風情,1
秉月貌,1
根本,3
箕裘,1
從敬,1
家事,18
消亡,1
首罪宁,1
宿孽,1
總因,2
收尾,1
飛鳥,1
投林,2
家業,4
凋零,2
銀散,1
有恩,2
死里逃生,1
報應,3
欠命,1
已還,1
冤冤,1
相報,1
實非輕,1
分离,9
前定,3
知命,1
短問,1
僥幸,1
遁入,2
空門,5
食盡鳥,1
白茫茫,2
大地,1
真干淨,1
歌畢,1
歌副曲,1
警幻見,1
痴儿,2
寶玉忙止,1
恍惚,29
告醉求,1
撤去,5
殘席,4
玉至,1
一香,1
閨繡閣,1
其間,5
乃素,1
可駭者,1
其鮮艷,1
嫵媚,7
似乎,17
如黛玉,1
何意,15
塵世中,1
綠窗,3
繡閣,1
煙霞,2
淫污,1
可恨,12
浪子,2
好色,5
不淫,2
情而,1
作案,1
此皆飾,1
即淫,1
知情,3
更淫,1
巫山,1
之會,1
云雨,8
之歡,1
既悅,1
其色,1
复戀,1
其情,4
所致,10
愛汝者,1
乃天,2
淫人,1
懶于,3
垂訓,1
豈敢,7
紀尚,3
雖一理,1
意則,1
有別,9
如世之好,1
淫者,1
不過悅,1
調笑,1
無厭,3
恨不能,6
我片,1
時之趣,1
皮膚,1
如爾則,1
分中,3
推之為,1
意淫,2
惟心,1
可口,3
通而,1
語達,1
汝今,1
獨得,1
此二字,1
固可為,1
良友,1
然于,1
世道,2
闊怪,1
百口,1
嘲謗,1
万目,1
睚眥,1
令祖,1
宁榮二公,1
剖腹,1
深囑,1
君獨,1
增光,2
見棄,2
以特,1
引前,1
醉以,1
靈酒,1
沁以,1
警以,1
妙曲,1
將吾妹,1
兼美字,1
可卿者,1
許配,4
今夕,1
良時,1
成姻,1
領略此,1
之風光,1
塵境,1
情景,2
今后,3
改悟,1
留意,3
孔孟之,1
委身,1
之道,2
便秘,1
推寶玉,10
將門,3
掩上,2
依警,1
幻所囑,1
盡述,1
柔情,7
軟語,2
溫存,3
可卿,3
難解,2
難分,6
游頑之時,1
遍地,2
狼虎,1
同群,1
黑溪,1
阻路,2
無橋,1
梁可通,1
猶豫之間,1
追來,1
告道,3
前進,1
速回,1
頭要,2
止步,4
迷津,2
万丈,1
遙亙,1
舟楫,1
可通,4
木筏,1
乃木,1
居士,3
掌舵,1
侍者,7
不受,6
金銀之謝,1
遇有,1
緣者,1
爾今,2
偶游,1
設如,1
墮落,2
則深負,1
前諄諄,1
警戒,1
內水響,1
夜叉,6
海鬼,1
將寶玉,13
拖將,1
寶玉汗,1
如雨,1
失聲,7
喊叫,3
嚇得襲,1
人輩眾,1
寶玉別,2
房外,2
丫頭們,113
看著貓,1
喚他,8
因納悶,1
幽夢同,1
情人,4
第六回,1
------------------------------------------------------------------,3
賈寶玉,13
初試,2
姥姥,306
一進,13
中喚,2
納悶,24
時寶玉迷,1
迷惑,4
若有所失,1
眾人忙,11
上桂圓,1
湯來,7
兩口,26
整衣,5
系褲,1
帶時,2
大腿,1
只覺,23
冰涼,2
沾濕,1
寶玉紅漲,1
襲人本,3
聰明,17
比寶玉大,1
近來,29
漸通,1
人事,10
覺察,4
紅漲,3
舊理,1
過這邊,5
襲人忙,27
趁眾,2
旁時,1
中衣來,1
寶玉換,2
寶玉含,1
央告,26
千万,27
別告訴,2
含羞,7
流出,5
一言難,2
事細,2
所授,2
伏身,1
玉亦素,1
喜襲,1
柔媚,1
嬌俏,2
強襲,1
人同,4
領警,1
幻所訓,1
襲人素,1
今便,1
越禮,1
偷試,1
幸得,7
自此,16
寶玉視,1
襲人待,1
按榮府,1
一宅,1
合算,3
雖不多,2
三四百,2
雖事,1
一天,121
一二十件,2
竟如亂,1
無個,3
頭緒,2
可作,2
綱領,1
正尋思,1
恰好,29
之微,1
瓜葛,4
正往,3
甚名,2
細講,1
姓王,2
祖上,8
曾作過,1
京官,6
鳳姐,1044
認識,4
王家,21
勢利,3
認作,7
之大兄,1
隨在京,1
知有,8
連宗之族,1
其祖,1
王成,2
因家業,1
蕭條,3
搬出,7
原鄉,1
中住,4
近亦因,1
病故,1
其子,4
狗儿,10
生一子,1
板儿,33
生一女,1
青儿,14
四口,1
以務,1
農為業,1
因狗儿,1
白日,10
生計,2
青板,2
看管,3
一處過,1
這劉,2
個積,1
寡婦,8
只靠,1
兩畝,1
今者,1
養活,6
一計,5
這年,5
冬初,1
天气,38
冷將,1
冬事,1
未辦,1
煩慮,1
悶酒,2
家閒,1
尋气惱,1
看不過,3
姑爺,16
你別,53
多嘴,7
村庄,11
那一個,44
老老,1
守多,1
大碗,4
因年,3
時候,116
托著,11
老家,2
之福,1
吃喝,8
把持,8
顧頭,1
顧尾,1
成個,13
雖离,2
終是,22
天子,6
腳下,10
這長,4
沒人會,1
跳蹋,1
會子,13
不中用,50
你老,44
只會,11
頭儿,34
打劫,4
想法,4
裁度,2
咱家,6
法儿,61
等到,22
這會子,221
收稅,1
作官,1
朋友,31
法子,39
可想,1
來理,1
謀事,2
成事在天,1
謀到,1
菩薩,23
倒替,7
机會來,1
連過,1
親近,15
故疏,1
當初,14
還去過,1
一遭,22
待人,9
現是,7
二老,27
發怜,1
貧恤,1
最愛齋,1
僧敬道,1
舍米舍,1
邊任,1
二姑,2
還認,5
走動,18
或者,53
他念舊,1
好處,12
要是,32
發一點,1
好心,11
寒毛,4
還粗,2
一旁,17
接口,9
怎樣,82
他門,2
先不先,1
門上,51
通信,2
現世,2
知狗儿,1
利名心,1
最重,1
活動,5
接道,3
這姑,1
一次,34
一趟,17
先試,1
試風頭,1
似海,1
白去,1
儿笑,7
我教,3
老人家,68
孫子,26
先去,11
周瑞,26
若見,2
這周瑞,2
交過,3
許多時,1
不得了,38
媳婦子,8
賣頭,1
舍著,1
這付,1
老臉,6
有益,5
沒銀子,2
侯門見,1
世面,17
當晚,3
已定,6
天未明,2
梳洗,54
教訓,20
那板儿,4
一無,5
所知,5
听見劉,1
逛去,12
無不應,1
姥帶,1
至宁榮,1
石獅子,1
簇簇,4
轎馬,1
衣服,119
角門前,2
胸疊肚,1
指手,2
畫腳,2
板凳,1
東談西,1
太爺們,5
納福,2
一會,66
便問,78
陪房,10
周大爺,1
那位,26
老出,1
半日方,5
那牆,1
角下,1
中有,6
老年人,1
誤他,1
何苦,60
因向劉,1
那周,1
后門,31
謝過,6
繞到,2
擔子,4
物件,12
吵吵,2
三二十,2
小孩子,42
廝鬧,6
拉住,12
我問,26
周大娘,6
大娘,16
有三個,1
奶奶,817
當的,3
引著劉,1
一院,1
牆邊,2
指与劉,1
老奶奶,12
周瑞家,157
周嫂子,5
方笑,8
一壁,13
還記,23
問些,2
問劉,3
路過,3
領我見,1
借重,1
几分,13
來意,3
丈夫,11
周瑞爭,1
多得,1
今見劉,1
顯弄,1
体面,46
大遠,4
誠心,5
誠意,1
不教,3
真佛,1
論理,19
客至,1
相干,39
兩季,1
地租,4
閒時,4
著小爺,1
出門子,6
原是,89
當個,5
破個,1
給你通個,1
信去,1
有所不知,2
五年,7
竟不大,1
管事,25
是璉,2
管家,26
這璉,1
鳳哥,1
劉姥,8
罕問,1
還得,35
客來,6
推得,1
推過,1
周旋,5
迎待,1
宁可,19
不會,41
不枉,6
阿彌陀佛,37
全仗,8
方便,15
瑞家,8
俗語,47
与人方便,1
話罷,3
害著,2
這鳳,1
還不過,1
歲罷,1
本事,18
一万,8
心眼,2
再要,11
賭口齒,1
十個,20
未免太,2
嚴些,2
連忙,185
著劉,3
空子,2
赶著,79
回事,11
難說,2
越發,102
隨著,19
逶迤,6
先到,17
將劉,3
安插在,2
等一等,6
先過,9
院門,21
知鳳姐,5
先找,2
著鳳姐,17
心腹,15
通房,1
大丫頭,5
平儿,598
常會,3
不可不,3
我細細,3
奶想,1
不責備,2
莽撞,3
便作,2
坐著,45
猩紅,2
只聞,10
臉來,12
竟不辨,1
气味,8
云端,1
滿屋,11
中之物,1
耀眼,1
爭光,2
使人頭,1
目眩,2
惟點,1
咂嘴,5
念佛,22
這間,3
屋內,27
了劉,15
兩眼,16
問個,7
綾羅,1
插金帶,1
花容玉貌,1
便當,1
姑奶奶,46
方知,24
讓劉,2
對面,18
